Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15
0,4,5,1,2,8,9,7,6,4,3,2,1,4,3
4,0,9,7,1,5,6,7,8,5,4,2,3,4,5
5,9,0,6,3,1,2,4,5,7,9,4,6,8,9
1,7,6,0,5,4,3,2,7,8,9,2,7,9,9
2,1,3,5,0,4,6,7,8,1,2,3,4,9,7
8,5,1,4,4,0,1,2,4,3,2,3,1,3,2
9,6,2,3,6,1,0,6,7,5,2,3,1,2,3
7,7,4,2,7,2,6,0,4,5,3,2,6,5,3
6,8,5,7,8,4,7,4,0,6,7,8,9,1,2
4,5,7,8,1,3,5,5,6,0,5,6,4,2,5
3,4,9,9,2,2,2,3,7,5,0,5,6,7,4
2,2,4,2,3,3,3,2,8,6,5,0,7,8,8
1,3,6,7,4,1,1,6,9,4,6,7,0,9,4
4,4,8,9,9,3,2,5,1,2,7,8,9,0,6
3,5,9,9,7,2,3,3,2,5,4,8,4,6,0
