cds,stype,name,sname,snum,dname,dnum,cname,cnum,flag,pcttest,api00,api99,target,growth,sch.wide,comp.imp,both,awards,meals,ell,yr.rnd,mobility,acs.k3,acs.46,acs.core,pct.resp,not.hsg,hsg,some.col,col.grad,grad.sch,avg.ed,full,emer,enroll,api.stu
14632486008692,E,Big Pine Elemen,Big Pine Elementary,859,Big Pine Unified,64,Inyo,13,NA,98,667,607,10,60,Yes,Yes,Yes,Yes,41,7,NA,11,17,20,19,66,2,22,38,32,5,3.1600000858306885,92,0,153,123
14632556008700,M,Home Street Mid,Home Street Middle,860,Bishop Union Elementary,69,Inyo,13,NA,97,719,716,4,3,No,No,No,No,32,5,NA,8,NA,NA,28,92,5,17,33,30,15,3.319999933242798,100,0,513,452
14632556008726,E,Pine Street Ele,Pine Street Elementary,861,Bishop Union Elementary,69,Inyo,13,NA,100,705,685,6,20,Yes,Yes,Yes,Yes,38,6,NA,8,20,31,NA,90,5,29,27,28,11,3.109999895095825,97,0,528,479
14632556070783,E,Elm Street Elem,Elm Street Elementary,862,Bishop Union Elementary,69,Inyo,13,NA,100,654,648,8,6,No,No,No,No,44,10,NA,10,21,NA,NA,62,14,34,17,27,9,2.8299999237060547,100,0,164,146
14632631431600,H,Bishop High,Bishop High,863,Bishop Joint Union High,68,Inyo,13,NA,98,675,664,7,11,Yes,Yes,Yes,Yes,1,3,NA,9,NA,NA,24,86,6,17,36,26,14,3.25,93,10,563,330
14632891434901,H,Lone Pine High,Lone Pine High,864,Lone Pine Unified,394,Inyo,13,NA,99,641,660,7,-19,No,No,No,No,6,6,NA,8,NA,NA,21,97,13,30,25,30,2,2.7699999809265137,100,10,119,106
14632896008775,E,Lo-Inyo Element,Lo-Inyo Elementary,865,Lone Pine Unified,394,Inyo,13,NA,98,584,551,12,33,Yes,No,No,No,51,18,NA,17,17,14,18,72,10,40,22,24,5,2.7300000190734863,100,0,185,144
15633136008817,M,Haven Drive Mid,Haven Drive Middle,866,Arvin Union Elementary,36,Kern,14,NA,100,482,451,17,31,Yes,Yes,Yes,Yes,94,62,NA,18,NA,28,24,93,70,16,9,3,2,1.5099999904632568,85,15,810,644
15633136008833,E,Sierra Vista El,Sierra Vista Elementary,867,Arvin Union Elementary,36,Kern,14,NA,99,485,366,22,119,Yes,Yes,Yes,Yes,95,79,NA,17,19,NA,NA,96,74,22,4,0,0,1.3200000524520874,63,37,301,245
15633136110464,E,Bear Mountain E,Bear Mountain Elementary,868,Arvin Union Elementary,36,Kern,14,NA,98,491,410,20,81,Yes,Yes,Yes,Yes,94,70,NA,18,19,26,NA,98,64,25,8,3,0,1.5199999809265137,80,20,908,715
